unique_id,template_version,name,from,procedure,section,item_content,item_check,item_note,item_ident
,,,,,,ENG START SWITCHES,CONT,,
,,,,,,SPEED BRAKE,AERMD,,
,,,,,,LANDING GEAR,DOWN,,
,,,,,,FLAPS,__ GREEN LIGHT,,
,,,,,LANDING CHECKLIST COMPLETED,,,,
,,,,,After Touch-Down,,,,
,,,,,,THRUST REVERSE,ENGAGE,,
,,,,,,AUTOPILOT,OFF,,
,,,,,,AUTOTHRUST,OFF,,
,,,,,,AT 60 KTS,REV THRUST TO IDLE,,
,,,,,,AT 30 KTS,AUTO-BRAKE DISENGAGE,,
,,,,,AFTER LANDING ,,,,
,,,,,,TRANSPONDER,OFF,,
,,,,,,FLAPS,RETRACT,,
,,,,,,SPEED BRAKE,DOWN,,
,,,,,,LANDING LIGHTS,OFF,,
,,,,,,STROBE LIGHTS,OFF,,
,,,,,,TAXI LIGHTS,ON,,
,,,,,,CABIN LIGHTS,AS REQ,,
,,,,,,ANTI ICE,AS REQ,,
,,,,,,APU,START / CHECK RUN,,
,,,,,,PROBE HEAT,OFF,,
,,,,,,ENG START SWITCHES,OFF,,
,,,,,,AUTO-BRAKE,OFF,,
,,,,,,,,Taxi to Assigned Gate/Parking (Speed Max 20 knots),
,,,,,,RWY TURNOFF LIGHTS,OFF,,
,,,,,,APU GEN,ON / CHECK VOLTS,,
,,,,,,Turning Into The Gate:,,,
,,,,,,TAXI LIGHTS,OFF,,
,,,,PARKING,,,,,
,,,,,,PARKING BRAKES,SET,,
,,,,,,ENGINE FUEL CONTROL LEVERS,OFF,,
,,,,,,GROUND CONTACT,ESTABLISH,,
,,,,,,GROUND OPERATIONS,AS REQ (FMC),,
,,,,,,PASSENGER SIGNS,OFF,,
,,,,,,APU BLEED AIR,ON,,
,,,,,,ANIT COLL LIGHT,OFF,,
,,,,,,FUELPUMPS,OFF,,
,,,,,,L AFT FUEL PUMP,ON,,
,,,,,,ANTI-ICE,OFF,,
,,,,,,ELEC HYD PUMPS,OFF,,
,,,,,,ISOLATION VALVE,OPEN,,
,,,,,,FLIGHT DIRECTOR,OFF,,
,,,,,,ELECTRICAL POWER,ESTABLISH,,
,,,,,,EXTERIOR LIGHTS,AS REQ,,
,,,,,SHUTDOWN CHECKLIST,,,,
,,,,,,FUEL PUMPS,OFF,,
,,,,,,PROBE HEAT,OFF,,
,,,,,,HYDRAULIC PANEL,SET,,
,,,,,,FLAPS,UP,,
,,,,,,PARKING BRAKE,SET,,
,,,,,,ENG START SWITCHES,CUTOFF,,
,,,,,,WEATHER RADAR,OFF,,
,,,,,SHUTDOWN CHECKLIST COMPLETED,,,,
,,,,,,DEBOARDING,REQUEST,GSX,
,,,,SECURING,,,,,
,,,,,,IRS MODE SELECTORS,OFF,,
,,,,,,APU,OFF,,
,,,,,,L AFT FUEL PUMP,OFF,,
,,,,,,EMERGENCY EXIT LIGHTS,OFF,,
,,,,,,WINDOW HEAT,OFF,,
,,,,,,PACKS,OFF,,
,,,,,,CABIN LIGHTS,OFF,,
,,,,,,EXTERIOR LIGHTS,OFF,,
,,,,,,STANDBY POWER,OFF,,
,,,,,,BATTERY,OFF,,
,,,,,SECURE CHECKLIST,,,,
,,,,,,IRS's,OFF,,
,,,,,,EMERGENCY EXIT LIGHTS,OFF,,
,,,,,,WINDOW HEAT,OFF,,
,,,,,,PACKS,OFF,,
